,Piksi Time,Lat Piksi,Lon Piksi,Lat Mav,Lon Mav,Mag,Lamor,Laser
0,265538150.4854369,-10.261454582214402,-55.033203125,-10.2614695,-55.0331989,24023.49,566,0.1
1,265538247.57281554,-10.261454582214402,-55.033203125,-10.2614695,-55.0331989,24022.836,647,0.1
2,265538347.91666666,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988887324,24021.861,581,0.1
3,265538449.5049505,-10.261454582214402,-55.033203125,-10.2614695,-55.033198818309856,24020.749,635,0.1
4,265538549.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24019.697999999997,515,0.1
5,265538649.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24018.609,623,0.1
6,265538750.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24017.642999999996,493,0.1
7,265538848.51485148,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24016.783,625,0.1
8,265538947.52475247,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24016.164,522,0.1
9,265539048.45360824,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24015.545,659,0.09793103448275862
10,265539149.01960784,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24014.968999999997,549,0.0930049261083744
11,265539248.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24014.622000000003,637,0.09
12,265539353.33333334,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24014.361,474,0.09
13,265539453.7037037,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24014.369,632,0.09
14,265539550.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24014.382999999998,544,0.09
15,265539652.74725273,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24014.424,718,0.09
16,265539757.57575756,-10.261454582214402,-55.033203125,-10.2614695,-55.0331988,24014.644,510,0.09
17,265539858.58585858,-10.261454582214402,-55.033203125,-10.261469586813186,-55.0331988,24014.73,669,0.09
18,265539929.5,-10.261454582214402,-55.033203125,-10.2614696,-55.03319871926606,24015.002,667,0.09
19,265539979.5,-10.261454582214402,-55.033203125,-10.2614696,-55.0331987,24015.36,652,0.09
20,265540140.0,-10.261454582214402,-55.033203125,-10.2614696,-55.0331987,24015.61,505,0.09
21,265540249.0,-10.261454191207896,-55.033203125,-10.2614696,-55.0331987,24015.621,698,0.09
22,265540353.84615386,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.534,476,0.09
23,265540453.7037037,-10.26145362854,-55.033203125,-10.261469682291667,-55.0331987,24015.272999999997,647,0.09
24,265540554.3478261,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.162,623,0.09
25,265540653.21100917,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.186,588,0.09
26,265540748.51485148,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.338,513,0.09
27,265540848.0,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.404,608,0.09
28,265540948.4848485,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.349,505,0.09
29,265541049.4949495,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.241,632,0.09
30,265541150.0,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.272999999997,500,0.09
31,265541250.0,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.295,693,0.09
32,265541347.6190476,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.349,610,0.09
33,265541447.4226804,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.317000000003,642,0.09
34,265541548.0,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.306,591,0.09
35,265541648.97959185,-10.26145362854,-55.033203125,-10.2614697,-55.0331987,24015.327999999998,718,0.09
36,265541748.5436893,-10.26145362854,-55.033203125,-10.261469640000001,-55.0331987,24015.36,591,0.09
37,265541847.0,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.303,645,0.09
38,265541925.54347825,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.306,581,0.09
39,265541979.89130434,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.317000000003,742,0.09
40,265542141.75824177,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.306,520,0.09
41,265542247.0,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.317000000003,620,0.09
42,265542344.76190478,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.317000000003,522,0.09
43,265542445.16129032,-10.26145362854,-55.033203125,-10.2614696,-55.0331987,24015.284,620,0.09
44,265542551.57894737,-10.26145362854,-55.033203125,-10.261469559139785,-55.0331987,24015.338,559,0.09
45,265542656.25,-10.26145362854,-55.033203125,-10.2614695,-55.0331987,24015.295,657,0.09
